"Date","Roost","Group","Age","Sex","Band","ID","switch_w","potential","n.days"
3802.16666666667,"R48",9,"A","F",542,"F542",1,2,4
3802.16666666667,"R48",9,"A","M",568,"M568",1,2,4
3802.16666666667,"R48",9,"A","M",631,"M631",1,2,4
3802.16666666667,"RCA",11,"A","F",512,"F512",1,2,2
3802.16666666667,"RCA",11,"A","F",524,"F524",1,2,4
3802.16666666667,"RCA",11,"A","M",530,"M530",1,2,4
3803.16666666667,"R48",9,"A","F",517,"F517",1,2,2
3803.16666666667,"R48",9,"A","F",518,"F518",0,1,1
3803.16666666667,"R48",9,"A","F",519,"F519",1,1,1
3803.16666666667,"R48",9,"A","F",538,"F538",1,2,2
3803.16666666667,"R48",9,"A","F",540,"F540",1,2,2
3803.16666666667,"R48",9,"A","F",542,"F542",0,1,1
3803.16666666667,"R48",9,"A","M",568,"M568",0,1,1
3803.16666666667,"R48",9,"A","M",631,"M631",0,1,1
3803.16666666667,"RCA",11,"A","M",530,"M530",0,1,1
3803.16666666667,"RPO",13,"A","F",514,"F514",1,1,1
3803.16666666667,"RPO",13,"A","M",520,"M520",1,2,6
3804.16666666667,"R3A",4,"A","M",533,"M533",1,2,3
3804.16666666667,"R3A",4,"A","M",539,"M539",1,2,3
3804.16666666667,"R3A",4,"A","M",593,"M593",1,2,2
3804.16666666667,"R48",9,"A","F",514,"F514",1,1,1
3804.16666666667,"R48",9,"A","M",568,"M568",0,1,2
3804.16666666667,"R48",9,"A","M",631,"M631",0,1,2
3804.16666666667,"RPO",13,"A","F",516,"F516",1,2,2
3804.16666666667,"RPO",13,"A","F",518,"F518",1,1,2
3804.16666666667,"RPO",13,"A","F",538,"F538",1,1,1
3804.16666666667,"RPO",13,"A","F",542,"F542",1,1,2
3804.16666666667,"RPO",13,"A","F",544,"F544",0,1,0
3804.16666666667,"RPO",13,"A","M",543,"M543",0,1,0
3805.16666666667,"R10",1,"A","F",514,"F514",1,1,1
3805.16666666667,"R10",1,"A","F",517,"F517",1,2,2
3805.16666666667,"R10",1,"A","F",519,"F519",1,2,2
3805.16666666667,"R10",1,"A","F",542,"F542",1,1,1
3805.16666666667,"R10",1,"A","M",513,"M513",1,2,3
3805.16666666667,"R10",1,"A","M",520,"M520",1,2,2
3805.16666666667,"R48",9,"A","F",538,"F538",1,1,1
3805.16666666667,"R48",9,"A","F",540,"F540",1,2,2
3805.16666666667,"R48",9,"A","M",568,"M568",0,1,3
3805.16666666667,"R48",9,"A","M",631,"M631",0,1,3
3805.16666666667,"RPO",13,"A","F",518,"F518",0,1,1
3805.16666666667,"RPO",13,"A","M",543,"M543",0,1,1
3808.16666666667,"R10",1,"A","F",517,"F517",0,1,3
3808.16666666667,"R10",1,"A","F",519,"F519",0,1,3
3808.16666666667,"R10",1,"A","F",542,"F542",0,1,3
3808.16666666667,"R10",1,"A","M",513,"M513",0,1,3
3808.16666666667,"R10",1,"A","M",566,"M566",0,1,0
3808.16666666667,"R10",1,"A","M",568,"M568",1,1,6
3808.16666666667,"R10",1,"J","M",569,"M569",0,1,0
3808.16666666667,"R3A",4,"A","F",514,"F514",1,1,3
3808.16666666667,"R3A",4,"A","F",570,"F570",1,2,10
3808.16666666667,"R3A",4,"A","F",572,"F572",1,2,10
3808.16666666667,"R3A",4,"A","F",577,"F577",0,1,0
3808.16666666667,"R3A",4,"A","F",578,"F578",1,2,10
3808.16666666667,"R3A",4,"A","F",583,"F583",1,2,10
3808.16666666667,"R3A",4,"A","F",589,"F589",1,2,24
3808.16666666667,"R3A",4,"A","M",533,"M533",1,2,4
3808.16666666667,"R3A",4,"A","M",539,"M539",1,2,4
3808.16666666667,"R3A",4,"A","M",573,"M573",1,2,7
3808.16666666667,"R3A",4,"A","M",593,"M593",1,2,4
3808.16666666667,"R48",9,"A","F",538,"F538",0,1,3
3808.16666666667,"R48",9,"A","F",540,"F540",0,1,3
3808.16666666667,"R48",9,"A","M",631,"M631",0,1,6
3808.16666666667,"RCA",11,"A","F",512,"F512",1,2,6
3808.16666666667,"RCA",11,"A","F",524,"F524",1,2,6
3808.16666666667,"RCA",11,"A","M",523,"M523",1,2,10
3808.16666666667,"RCA",11,"A","M",530,"M530",1,2,6
3808.16666666667,"RPO",13,"A","F",516,"F516",1,2,4
3808.16666666667,"RPO",13,"A","F",518,"F518",0,1,4
3808.16666666667,"RPO",13,"A","F",544,"F544",1,2,4
3808.16666666667,"RPO",13,"A","F",596,"F596",0,1,0
3808.16666666667,"RPO",13,"A","M",520,"M520",1,1,3
3808.16666666667,"RPO",13,"A","M",543,"M543",0,1,4
3809.16666666667,"R10",1,"A","F",567,"F567",0,1,0
3809.16666666667,"RPO",13,"A","F",512,"F512",1,1,1
3809.16666666667,"RPO",13,"A","F",516,"F516",0,1,1
3809.16666666667,"RPO",13,"A","F",518,"F518",0,1,5
3809.16666666667,"RPO",13,"A","F",538,"F538",1,1,4
3809.16666666667,"RPO",13,"A","F",540,"F540",1,1,4
3809.16666666667,"RPO",13,"A","F",544,"F544",0,1,1
3809.16666666667,"RPO",13,"A","M",520,"M520",0,1,1
3809.16666666667,"RPO",13,"A","M",543,"M543",0,1,5
3810.16666666667,"R3A",4,"A","F",517,"F517",1,2,5
3810.16666666667,"R3A",4,"A","F",570,"F570",1,2,2
3810.16666666667,"R3A",4,"A","F",571,"F571",1,2,12
3810.16666666667,"R3A",4,"A","F",577,"F577",1,2,2
3810.16666666667,"R3A",4,"A","F",583,"F583",1,2,2
3810.16666666667,"R3A",4,"A","F",589,"F589",1,2,2
3810.16666666667,"R3A",4,"A","M",539,"M539",1,2,2
3810.16666666667,"R3A",4,"A","M",573,"M573",1,2,2
3810.16666666667,"R3A",4,"A","M",593,"M593",1,2,2
3810.16666666667,"R48",9,"A","M",568,"M568",1,2,2
3810.16666666667,"R48",9,"A","M",631,"M631",1,2,8
3810.16666666667,"RPO",13,"A","F",516,"F516",0,1,2
3810.16666666667,"RPO",13,"A","F",544,"F544",0,1,2
3810.16666666667,"RPO",13,"A","F",596,"F596",1,2,2
3810.16666666667,"RPO",13,"A","M",543,"M543",0,1,6
3811.16666666667,"R10",1,"A","M",513,"M513",1,2,6
3811.16666666667,"R3A",4,"A","F",570,"F570",0,1,1
3811.16666666667,"R3A",4,"A","F",571,"F571",0,1,1
3811.16666666667,"R3A",4,"A","F",572,"F572",1,2,3
3811.16666666667,"R3A",4,"A","F",577,"F577",0,1,1
3811.16666666667,"R3A",4,"A","F",578,"F578",1,2,3
3811.16666666667,"R3A",4,"A","F",583,"F583",0,1,1
3811.16666666667,"R3A",4,"A","F",589,"F589",0,1,1
3811.16666666667,"R3A",4,"A","M",533,"M533",1,2,3
3811.16666666667,"R3A",4,"A","M",539,"M539",0,1,1
3811.16666666667,"R3A",4,"A","M",573,"M573",0,1,1
3811.16666666667,"R3A",4,"A","M",593,"M593",0,1,1
3811.16666666667,"R48",9,"A","M",631,"M631",0,1,1
3812.16666666667,"RCA",11,"A","F",524,"F524",1,2,4
3812.16666666667,"RCA",11,"A","F",538,"F538",1,2,3
3812.16666666667,"RCA",11,"A","F",540,"F540",1,2,3
3812.16666666667,"RCA",11,"A","M",523,"M523",1,2,4
3812.16666666667,"RCA",11,"A","M",530,"M530",1,2,4
3814.16666666667,"R3A",4,"A","F",570,"F570",1,2,4
3814.16666666667,"R3A",4,"A","F",571,"F571",1,2,4
3814.16666666667,"R3A",4,"A","F",572,"F572",1,2,3
3814.16666666667,"R3A",4,"A","F",577,"F577",1,2,4
3814.16666666667,"R3A",4,"A","F",578,"F578",1,2,3
3814.16666666667,"R3A",4,"A","F",583,"F583",1,2,4
3814.16666666667,"R3A",4,"A","F",589,"F589",1,2,4
3814.16666666667,"R3A",4,"A","M",533,"M533",1,2,3
3814.16666666667,"R3A",4,"A","M",539,"M539",1,2,4
3814.16666666667,"R3A",4,"A","M",573,"M573",1,2,4
3814.16666666667,"R3A",4,"A","M",593,"M593",1,2,4
3815.16666666667,"R3A",4,"A","F",570,"F570",0,1,1
3815.16666666667,"R3A",4,"A","F",571,"F571",0,1,1
3815.16666666667,"R3A",4,"A","F",572,"F572",0,1,1
3815.16666666667,"R3A",4,"A","F",577,"F577",0,1,1
3815.16666666667,"R3A",4,"A","F",578,"F578",0,1,1
3815.16666666667,"R3A",4,"A","F",583,"F583",0,1,1
3815.16666666667,"R3A",4,"A","F",589,"F589",0,1,1
3815.16666666667,"R3A",4,"A","M",533,"M533",0,1,1
3815.16666666667,"R3A",4,"A","M",539,"M539",0,1,1
3815.16666666667,"R3A",4,"A","M",573,"M573",0,1,1
3815.16666666667,"R3A",4,"A","M",593,"M593",0,1,1
3815.16666666667,"R48",9,"A","M",631,"M631",1,2,5
3815.16666666667,"RCA",11,"A","F",524,"F524",1,2,3
3815.16666666667,"RCA",11,"A","M",523,"M523",1,2,3
3816.16666666667,"R3A",4,"A","F",570,"F570",0,1,2
3816.16666666667,"R3A",4,"A","F",571,"F571",0,1,2
3816.16666666667,"R3A",4,"A","F",572,"F572",0,1,2
3816.16666666667,"R3A",4,"A","F",577,"F577",0,1,2
3816.16666666667,"R3A",4,"A","F",578,"F578",0,1,2
3816.16666666667,"R3A",4,"A","F",583,"F583",0,1,2
3816.16666666667,"R3A",4,"A","F",589,"F589",0,1,2
3816.16666666667,"R3A",4,"A","M",533,"M533",0,1,2
3816.16666666667,"R3A",4,"A","M",539,"M539",0,1,2
3816.16666666667,"R3A",4,"A","M",573,"M573",0,1,2
3816.16666666667,"R3A",4,"A","M",593,"M593",0,1,2
3816.16666666667,"RCA",11,"A","M",530,"M530",1,2,4
3817.16666666667,"R3A",4,"A","F",570,"F570",0,1,3
3817.16666666667,"R3A",4,"A","F",571,"F571",0,1,3
3817.16666666667,"R3A",4,"A","F",572,"F572",0,1,3
3817.16666666667,"R3A",4,"A","F",577,"F577",0,1,3
3817.16666666667,"R3A",4,"A","F",578,"F578",0,1,3
3817.16666666667,"R3A",4,"A","F",583,"F583",0,1,3
3817.16666666667,"R3A",4,"A","F",589,"F589",0,1,3
3817.16666666667,"R3A",4,"A","F",599,"F599",0,1,0
3817.16666666667,"R3A",4,"A","M",533,"M533",0,1,3
3817.16666666667,"R3A",4,"A","M",539,"M539",0,1,3
3817.16666666667,"R3A",4,"A","M",573,"M573",0,1,3
3817.16666666667,"R3A",4,"A","M",574,"M574",0,1,0
3817.16666666667,"R3A",4,"A","M",580,"M580",0,1,0
3817.16666666667,"R3A",4,"A","M",581,"M581",0,1,0
3817.16666666667,"R3A",4,"A","M",582,"M582",0,1,0
3817.16666666667,"R3A",4,"A","M",584,"M584",0,1,0
3817.16666666667,"R3A",4,"J","M",591,"M591",0,1,0
3817.16666666667,"R3A",4,"A","M",593,"M593",0,1,3
3817.16666666667,"R3A",4,"A","M",598,"M598",0,1,0
3818.16666666667,"R32",3,"A","M",598,"M598",1,1,1
3819.16666666667,"R3A",4,"A","M",533,"M533",1,2,5
3819.16666666667,"R3A",4,"A","M",539,"M539",1,2,5
3819.16666666667,"R3A",4,"A","M",573,"M573",1,2,5
3819.16666666667,"R48",9,"A","M",568,"M568",1,2,9
3820.16666666667,"R32",3,"A","F",570,"F570",1,2,6
3820.16666666667,"R32",3,"A","F",572,"F572",1,2,6
3820.16666666667,"R32",3,"A","F",577,"F577",1,2,6
3820.16666666667,"R32",3,"A","F",578,"F578",1,2,6
3820.16666666667,"R3A",4,"A","M",533,"M533",0,1,1
3820.16666666667,"R3A",4,"A","M",539,"M539",0,1,1
3820.16666666667,"R3A",4,"A","M",573,"M573",0,1,1
3820.16666666667,"R48",9,"A","M",513,"M513",1,2,9
3820.16666666667,"R48",9,"A","M",568,"M568",0,1,1
3821.16666666667,"R32",3,"A","F",570,"F570",0,1,1
3821.16666666667,"R32",3,"A","F",572,"F572",0,1,1
3821.16666666667,"R32",3,"A","F",577,"F577",0,1,1
3821.16666666667,"R32",3,"A","F",578,"F578",0,1,1
3821.16666666667,"R32",3,"A","F",583,"F583",1,2,7
3821.16666666667,"R32",3,"J","M",591,"M591",1,2,4
3821.16666666667,"R3A",4,"A","M",533,"M533",0,1,2
3821.16666666667,"R3A",4,"A","M",539,"M539",0,1,2
3821.16666666667,"R3A",4,"A","M",573,"M573",0,1,2
3821.16666666667,"R48",9,"A","M",568,"M568",0,1,2
3821.16666666667,"RCA",11,"A","F",524,"F524",1,2,6
3821.16666666667,"RCA",11,"A","M",523,"M523",1,2,6
3821.16666666667,"RCA",11,"A","M",530,"M530",1,2,5
3822.16666666667,"R32",3,"A","F",577,"F577",0,1,2
3822.16666666667,"R32",3,"J","M",591,"M591",0,1,1
3822.16666666667,"R3A",4,"A","M",533,"M533",0,1,3
3822.16666666667,"R3A",4,"A","M",539,"M539",0,1,3
3822.16666666667,"R3A",4,"A","M",573,"M573",0,1,3
3822.16666666667,"R48",9,"A","M",631,"M631",1,2,7
3823.16666666667,"RCA",11,"A","M",523,"M523",1,2,2
3823.16666666667,"RCA",11,"A","M",530,"M530",1,2,2
3824.16666666667,"RCA",11,"A","F",588,"F588",0,1,0
3824.16666666667,"RCA",11,"A","F",592,"F592",0,1,0
3827.16666666667,"R18",2,"A","M",689,"M689",1,2,27
3827.16666666667,"R3A",4,"A","M",533,"M533",1,2,8
3827.16666666667,"R3A",4,"A","M",539,"M539",1,2,8
3827.16666666667,"R3A",4,"A","M",573,"M573",1,2,8
3827.16666666667,"R48",9,"A","M",631,"M631",1,2,5
3827.16666666667,"RCA",11,"A","F",524,"F524",1,2,6
3827.16666666667,"RCA",11,"A","F",588,"F588",0,1,3
3827.16666666667,"RCA",11,"A","F",592,"F592",0,1,3
3827.16666666667,"RCA",11,"A","M",523,"M523",1,2,4
3827.16666666667,"RCA",11,"A","M",530,"M530",1,2,4
3838.16666666667,"R18",2,"A","M",689,"M689",0,1,11
3838.16666666667,"R3A",4,"A","F",514,"F514",1,2,30
3838.16666666667,"R3A",4,"A","F",567,"F567",1,2,29
3838.16666666667,"R3A",4,"A","F",570,"F570",1,2,18
3838.16666666667,"R3A",4,"A","F",571,"F571",1,2,24
3838.16666666667,"R3A",4,"A","F",572,"F572",1,2,18
3838.16666666667,"R3A",4,"A","F",577,"F577",1,2,18
3838.16666666667,"R3A",4,"A","F",578,"F578",1,2,18
3838.16666666667,"R3A",4,"A","F",583,"F583",1,2,17
3838.16666666667,"R3A",4,"A","F",589,"F589",1,2,24
3838.16666666667,"R3A",4,"A","F",599,"F599",1,2,21
3838.16666666667,"R3A",4,"A","M",533,"M533",0,1,11
3838.16666666667,"R3A",4,"A","M",539,"M539",0,1,11
3838.16666666667,"R3A",4,"A","M",573,"M573",0,1,11
3838.16666666667,"R3A",4,"J","M",591,"M591",1,2,17
3838.16666666667,"R3A",4,"A","M",593,"M593",1,2,24
3838.16666666667,"R3A",4,"A","M",598,"M598",1,2,20
3838.16666666667,"R48",9,"A","M",631,"M631",0,1,11
3838.16666666667,"RCA",11,"A","F",588,"F588",0,1,14
3838.16666666667,"RCA",11,"A","F",592,"F592",0,1,14
3838.16666666667,"RCA",11,"A","M",523,"M523",0,1,11
3838.16666666667,"RCA",11,"A","M",530,"M530",0,1,11
3839.16666666667,"R10",1,"A","F",514,"F514",1,1,1
3839.16666666667,"R10",1,"A","F",516,"F516",1,2,31
3839.16666666667,"R10",1,"A","F",517,"F517",1,2,29
3839.16666666667,"R10",1,"A","F",538,"F538",1,2,27
3839.16666666667,"R10",1,"A","F",540,"F540",1,2,27
3839.16666666667,"R10",1,"A","M",513,"M513",1,2,19
3839.16666666667,"R10",1,"A","M",520,"M520",1,2,31
3839.16666666667,"R10",1,"A","M",543,"M543",1,2,35
3839.16666666667,"R48",9,"A","M",631,"M631",0,1,12
3841.16666666667,"R10",1,"A","F",516,"F516",0,1,2
3841.16666666667,"R10",1,"A","F",519,"F519",1,2,36
3841.16666666667,"R10",1,"A","F",540,"F540",0,1,2
3841.16666666667,"R10",1,"A","F",599,"F599",1,2,3
3841.16666666667,"R10",1,"A","M",513,"M513",0,1,2
3841.16666666667,"R10",1,"J","M",569,"M569",1,2,33
3841.16666666667,"R18",2,"A","M",689,"M689",1,2,14
3841.16666666667,"R3A",4,"A","F",570,"F570",1,2,3
3841.16666666667,"R3A",4,"A","F",571,"F571",1,2,3
3841.16666666667,"R3A",4,"A","F",572,"F572",1,2,3
3841.16666666667,"R3A",4,"A","F",577,"F577",1,2,3
3841.16666666667,"R3A",4,"A","F",578,"F578",1,2,3
3841.16666666667,"R3A",4,"A","F",583,"F583",1,2,3
3841.16666666667,"R3A",4,"A","F",589,"F589",1,2,3
